gen,seq,delta_ns
1789205287309-tick,683,49752400
1789205287309-tick,684,50063600
1789205287309-tick,685,51533500
1789205287309-tick,686,48458400
1789205287309-tick,687,51919800
1789205287309-tick,688,49543600
1789205287309-tick,689,49685500
1789205287309-tick,690,49441300
1789205287309-tick,691,50265400
1789205287309-tick,692,49860300
1789205287309-tick,693,49853600
1789205287309-tick,694,49781600
1789205287309-tick,695,49569800
1789205287309-tick,696,50646400
1789205287309-tick,697,51058200
1789205287309-tick,698,48787300
1789205287309-tick,699,49867600
1789205287309-tick,700,49661500
1789205287309-tick,701,50215400
1789205287309-tick,702,50334100
1789205287309-tick,703,50060300
1789205287309-tick,704,49510900
1789205287309-tick,705,50868300
1789205287309-tick,706,49901700
1789205287309-tick,707,49851800
1789205287309-tick,708,49619900
1789205287309-tick,709,51287800
1789205287309-tick,710,50129700
1789205287309-tick,711,48544000
1789205287309-tick,712,49922900
1789205287309-tick,713,50035600
1789205287309-tick,714,50462900
1789205287309-tick,715,50955300
1789205287309-tick,716,48802200
1789205287309-tick,717,49810600
1789205287309-tick,718,51330300
1789205287309-tick,719,50163100
1789205287309-tick,720,48832300
1789205287309-tick,721,51131200
1789205287309-tick,722,49232700
1789205287309-tick,723,49360400
1789205287309-tick,724,49863200
1789205287309-tick,725,50035700
1789205287309-tick,726,50094200
1789205287309-tick,727,51011800
1789205287309-tick,728,49681800
1789205287309-tick,729,49014100
1789205287309-tick,730,50500400
1789205287309-tick,731,49402800
1789205287309-tick,732,51665500
1789205287309-tick,733,49007300
1789205287309-tick,734,51010400
1789205287309-tick,735,49145700
1789205287309-tick,736,50017100
1789205287309-tick,737,49178200
1789205287309-tick,738,50558200
1789205287309-tick,739,49632600
1789205287309-tick,740,49843900
1789205287309-tick,741,50168100
1789205287309-tick,742,49794000
1789205287309-tick,743,51886600
1789205287309-tick,744,48092900
1789205287309-tick,745,51968100
1789205287309-tick,746,48967400
1789205287309-tick,747,50776200
1789205287309-tick,748,49624400
1789205287309-tick,749,50320000
1789205287309-tick,750,49021100
1789205287309-tick,751,51368800
1789205287309-tick,752,48838900
1789205287309-tick,753,50582100
1789205287309-tick,754,49033300
1789205287309-tick,755,50469700
1789205287309-tick,756,49935100
1789205287309-tick,757,50658900
1789205287309-tick,758,49456600
1789205287309-tick,759,49903900
1789205287309-tick,760,49814700
1789205287309-tick,761,49360300
1789205287309-tick,762,50063400
1789205287309-tick,763,50211800
1789205287309-tick,764,51382000
1789205287309-tick,765,48547000
1789205287309-tick,766,50043600
1789205287309-tick,767,49773600
1789205287309-tick,768,51507000
1789205287309-tick,769,49564200
1789205287309-tick,770,50634000
1789205287309-tick,771,49270500
1789205287309-tick,772,49658000
1789205287309-tick,773,50917000
1789205287309-tick,774,49197400
1789205287309-tick,775,50445300
1789205287309-tick,776,49434100
1789205287309-tick,777,49628800
1789205287309-tick,778,51066300
1789205287309-tick,779,50268000
1789205287309-tick,780,48932200
1789205287309-tick,781,50937300
1789205287309-tick,782,49294200
1789205287309-tick,783,49590300
1789205287309-tick,784,50094000
1789205287309-tick,785,49932000
1789205287309-tick,786,51544800
1789205287309-tick,787,48686800
1789205287309-tick,788,49387800
1789205287309-tick,789,50253900
1789205287309-tick,790,50702400
1789205287309-tick,791,50850500
1789205287309-tick,792,49072700
1789205287309-tick,793,50341100
1789205287309-tick,794,50489700
1789205287309-tick,795,49691500
1789205287309-tick,796,49406200
1789205287309-tick,797,50355100
1789205287309-tick,798,49218000
1789205287309-tick,799,50872900
1789205287309-tick,800,50096200
1789205287309-tick,801,50000600
1789205287309-tick,802,49307300
1789205287309-tick,803,51107900
1789205287309-tick,804,49641200
1789205287309-tick,805,49171700
1789205287309-tick,806,49376700
1789205287309-tick,807,50784100
1789205287309-tick,808,49600100
1789205287309-tick,809,49774000
1789205287309-tick,810,51118300
1789205287309-tick,811,49798200
1789205287309-tick,812,49803600
1789205287309-tick,813,50978400
1789205287309-tick,814,48457800
1789205287309-tick,815,50501500
1789205287309-tick,816,49211500
1789205287309-tick,817,51124500
1789205287309-tick,818,50630200
1789205287309-tick,819,49681300
1789205287309-tick,820,48949900
1789205287309-tick,821,49793800
1789205287309-tick,822,50082900
1789205287309-tick,823,49776300
1789205287309-tick,824,50611200
1789205287309-tick,825,50004200
1789205287309-tick,826,50938900
1789205287309-tick,827,48774800
1789205287309-tick,828,50446700
1789205287309-tick,829,49224500
1789205287309-tick,830,50341200
1789205287309-tick,831,50242800
1789205287309-tick,832,50841200
1789205287309-tick,833,49221600
1789205287309-tick,834,49360900
1789205287309-tick,835,51324900
1789205287309-tick,836,50279900
1789205287309-tick,837,49459100
1789205287309-tick,838,49358000
1789205287309-tick,839,50450100
1789205287309-tick,840,50343900
1789205287309-tick,841,49296400
1789205287309-tick,842,49794900
1789205287309-tick,843,51822500
1789205287309-tick,844,48708100
1789205287309-tick,845,51012300
1789205287309-tick,846,48585100
1789205287309-tick,847,50205000
1789205287309-tick,848,49308000
1789205287309-tick,849,51244200
1789205287309-tick,850,49925800
1789205287309-tick,851,49658100
1789205287309-tick,852,49651200
1789205287309-tick,853,51225100
1789205287309-tick,854,49543700
1789205287309-tick,855,49010500
1789205287309-tick,856,51529400
1789205287309-tick,857,48281900
1789205287309-tick,858,50787800
1789205287309-tick,859,49938900
1789205287309-tick,860,50801200
1789205287309-tick,861,49503900
1789205287309-tick,862,48940200
1789205287309-tick,863,50130500
1789205287309-tick,864,50381900
1789205287309-tick,865,49704200
1789205287309-tick,866,50032500
1789205287309-tick,867,49889400
1789205287309-tick,868,50877100
1789205287309-tick,869,49151800
1789205287309-tick,870,50459000
1789205287309-tick,871,50052700
1789205287309-tick,872,50610400
1789205287309-tick,873,50074000
1789205287309-tick,874,49129000
1789205287309-tick,875,49827800
1789205287309-tick,876,51225500
1789205287309-tick,877,50035000
1789205287309-tick,878,48891800
1789205287309-tick,879,51194700
1789205287309-tick,880,49011800
1789205287309-tick,881,49159700
1789205287309-tick,882,50249300
1789205287309-tick,883,51124700
1789205287309-tick,884,48630300
1789205287309-tick,885,51830300
1789205287309-tick,886,49043900
1789205287309-tick,887,49867100
1789205287309-tick,888,49435500
1789205287309-tick,889,49876400
1789205287309-tick,890,50669100
1789205287309-tick,891,50678900
1789205287309-tick,892,49624100
1789205287309-tick,893,50229700
1789205287309-tick,894,49040800
1789205287309-tick,895,51375700
1789205287309-tick,896,48823200
1789205287309-tick,897,51093200
1789205287309-tick,898,49049600
1789205287309-tick,899,51116400
1789205287309-tick,900,49392900
1789205287309-tick,901,49510100
1789205287309-tick,902,49650400
1789205287309-tick,903,50481300
1789205287309-tick,904,50332000
1789205287309-tick,905,49068900
1789205287309-tick,906,50170700
1789205287309-tick,907,49820900
1789205287309-tick,908,50236300
1789205287309-tick,909,49701200
1789205287309-tick,910,51334200
1789205287309-tick,911,49318800
1789205287309-tick,912,49854700
1789205287309-tick,913,49591800
1789205287309-tick,914,50086900
1789205287309-tick,915,50653600
1789205287309-tick,916,49966400
1789205287309-tick,917,49254800
1789205287309-tick,918,49867000
1789205287309-tick,919,51021300
1789205287309-tick,920,49992700
1789205287309-tick,921,50179300
1789205287309-tick,922,48809900
1789205287309-tick,923,50894200
1789205287309-tick,924,50289500
1789205287309-tick,925,49076700
1789205287309-tick,926,50527600
1789205287309-tick,927,50334700
