gen,seq,delta_ns
1789211068009-tick,401,51583700
1789211068009-tick,402,49960600
1789211068009-tick,403,48478600
1789211068009-tick,404,50083600
1789211068009-tick,405,51477400
1789211068009-tick,406,49682400
1789211068009-tick,407,48681900
1789211068009-tick,408,49920800
1789211068009-tick,409,50002100
1789211068009-tick,410,51715300
1789211068009-tick,411,49880600
1789211068009-tick,412,48560500
1789211068009-tick,413,50713000
1789211068009-tick,414,50120600
1789211068009-tick,415,50592900
1789211068009-tick,416,48525700
1789211068009-tick,417,50453400
1789211068009-tick,418,50291300
1789211068009-tick,419,50254600
1789211068009-tick,420,49118000
1789211068009-tick,421,51175100
1789211068009-tick,422,49148400
1789211068009-tick,423,49932200
1789211068009-tick,424,49656200
1789211068009-tick,425,50263100
1789211068009-tick,426,49875100
1789211068009-tick,427,51067600
1789211068009-tick,428,50063200
1789211068009-tick,429,49270700
1789211068009-tick,430,49716600
1789211068009-tick,431,49902100
1789211068009-tick,432,51169500
1789211068009-tick,433,48840400
1789211068009-tick,434,49692400
1789211068009-tick,435,50161300
1789211068009-tick,436,50014100
1789211068009-tick,437,50947700
1789211068009-tick,438,50426800
1789211068009-tick,439,50285500
1789211068009-tick,440,49302500
1789211068009-tick,441,49833900
1789211068009-tick,442,50982600
1789211068009-tick,443,48183900
1789211068009-tick,444,50191300
1789211068009-tick,445,51212400
1789211068009-tick,446,48796700
1789211068009-tick,447,51002800
1789211068009-tick,448,49102800
1789211068009-tick,449,49955200
1789211068009-tick,450,49955800
1789211068009-tick,451,50188200
1789211068009-tick,452,49614900
1789211068009-tick,453,49915700
1789211068009-tick,454,50692900
1789211068009-tick,455,49250300
1789211068009-tick,456,51351600
1789211068009-tick,457,49334900
1789211068009-tick,458,49905000
1789211068009-tick,459,49641800
1789211068009-tick,460,51123800
1789211068009-tick,461,49264300
1789211068009-tick,462,50017200
1789211068009-tick,463,50317000
1789211068009-tick,464,49272500
1789211068009-tick,465,50676100
1789211068009-tick,466,49081900
1789211068009-tick,467,50253800
1789211068009-tick,468,51132100
1789211068009-tick,469,49670400
1789211068009-tick,470,49282100
1789211068009-tick,471,51088800
1789211068009-tick,472,48864400
1789211068009-tick,473,50550500
1789211068009-tick,474,49264000
1789211068009-tick,475,51772800
1789211068009-tick,476,48527700
1789211068009-tick,477,51025700
1789211068009-tick,478,48917400
1789211068009-tick,479,50877000
1789211068009-tick,480,50443900
1789211068009-tick,481,48353100
1789211068009-tick,482,50593500
1789211068009-tick,483,49656300
1789211068009-tick,484,50505800
1789211068009-tick,485,49882400
1789211068009-tick,486,49887200
1789211068009-tick,487,50058800
1789211068009-tick,488,49400800
1789211068009-tick,489,50502300
1789211068009-tick,490,49456400
1789211068009-tick,491,51058800
1789211068009-tick,492,50757300
1789211068009-tick,493,49087700
1789211068009-tick,494,50592700
1789211068009-tick,495,48607500
1789211068009-tick,496,50324900
1789211068009-tick,497,50293200
1789211068009-tick,498,50189000
1789211068009-tick,499,49976300
1789211068009-tick,500,50046000
1789211068009-tick,501,50433000
1789211068009-tick,502,49091100
1789211068009-tick,503,50234400
1789211068009-tick,504,50268000
1789211068009-tick,505,49479300
1789211068009-tick,506,50261900
1789211068009-tick,507,50705300
1789211068009-tick,508,48639000
1789211068009-tick,509,50817500
1789211068009-tick,510,49504700
1789211068009-tick,511,49646600
1789211068009-tick,512,50054000
1789211068009-tick,513,51054600
1789211068009-tick,514,50253200
1789211068009-tick,515,49013800
1789211068009-tick,516,51439700
1789211068009-tick,517,48422600
1789211068009-tick,518,51383400
1789211068009-tick,519,48652300
1789211068009-tick,520,49929400
1789211068009-tick,521,49998900
1789211068009-tick,522,51203100
1789211068009-tick,523,48579800
1789211068009-tick,524,50211400
1789211068009-tick,525,49943100
1789211068009-tick,526,50174600
1789211068009-tick,527,50060500
1789211068009-tick,528,50948300
1789211068009-tick,529,48904400
1789211068009-tick,530,50359500
1789211068009-tick,531,51116300
1789211068009-tick,532,49697800
